index,X,Y,Z,val,feature_name,strike,dip
234,1680498.039781815,5386801.343106365,0.0,0.0,Awatere Fault,,
235,1681535.7322154231,5387362.544116379,0.0,0.0,Awatere Fault,,
236,1683420.5205132065,5388442.591343198,0.0,0.0,Awatere Fault,,
237,1683907.6006351034,5388823.784482076,0.0,0.0,Awatere Fault,,
238,1684384.092058699,5389607.348156435,0.0,0.0,Awatere Fault,,
239,1684987.6478619212,5390200.315261354,0.0,0.0,Awatere Fault,,
240,1686194.7594683669,5390867.403254388,0.0,0.0,Awatere Fault,,
241,1688778.401854088,5392243.934033669,0.0,0.0,Awatere Fault,,
242,1690578.480565452,5393715.763097667,0.0,0.0,Awatere Fault,,
243,1691372.6329381142,5394255.786711076,0.0,0.0,Awatere Fault,,
244,1694708.072903288,5396129.986310557,0.0,0.0,Awatere Fault,,
245,1697365.8361771265,5397220.622235682,0.0,0.0,Awatere Fault,,
246,1579899.0361476438,5286076.722766234,0.0,0.0,Hope fault,,
247,1580296.1123339736,5286079.36994081,0.0,0.0,Hope fault,,
248,1580669.3639491254,5286039.662322175,0.0,0.0,Hope fault,,
249,1583080.939987438,5286055.545369626,0.0,0.0,Hope fault,,
250,1585304.5666308892,5286479.093301713,0.0,0.0,Hope fault,,
251,1590514.206195543,5287982.688460615,0.0,0.0,Hope fault,,
252,1594961.459482442,5289359.219239891,0.0,0.0,Hope fault,,
253,1603196.3598125158,5292321.656096304,0.0,0.0,Hope fault,,
254,1616247.412901721,5298933.162880231,0.0,0.0,Hope fault,,
255,1625451.6908759484,5303682.981515482,0.0,0.0,Hope fault,,
256,1629268.841981383,5305390.508469319,0.0,0.0,Hope fault,,
257,1634661.3106932254,5306962.904541606,0.0,0.0,Hope fault,,
258,1639052.7992125638,5308482.408373545,0.0,0.0,Hope fault,,
259,1645384.840797244,5311108.405552476,0.0,0.0,Hope fault,,
260,1648288.8365173286,5311399.299605384,0.0,0.0,Hope fault,,
261,1652836.4217063244,5313027.95268008,0.0,0.0,Hope fault,,
262,1657666.7204194705,5316314.041184445,0.0,0.0,Hope fault,,
263,1660355.1750087512,5318486.25130318,0.0,0.0,Hope fault,,
264,1662701.8905416138,5319596.624820445,0.0,0.0,Hope fault,,
265,1664648.6672701132,5320710.101207827,0.0,0.0,Hope fault,,
266,1667126.59786038,5321418.870505081,0.0,0.0,Hope fault,,
267,1655439.0051150213,5401090.821931282,0.0,,Alpine Fault,70.0,90.0
268,1633668.6414058232,5393932.861879038,0.0,,Alpine Fault,70.0,90.0
269,1610881.76265962,5384275.969027492,0.0,,Alpine Fault,62.0,85.0
270,1586654.820944327,5371400.1118921,0.0,,Alpine Fault,57.0,85.0
271,1564715.0380622917,5354204.065849435,0.0,,Alpine Fault,50.0,70.0
272,1538920.9689982792,5313628.17395567,0.0,,Alpine Fault,55.0,60.0
273,1531254.751427531,5307613.793320057,0.0,,Alpine Fault,55.0,60.0
274,1523503.8242703655,5300667.60723386,0.0,,Alpine Fault,55.0,60.0
275,1507536.0672307382,5289549.474016633,0.0,,Alpine Fault,55.0,60.0
276,1463952.9850191276,5262251.8097939,0.0,,Alpine Fault,55.0,70.0
277,1497625.0456199348,5283386.851604805,0.0,,Alpine Fault,55.0,60.0
278,1457176.2181057571,5256957.460642899,0.0,,Alpine Fault,50.0,60.0
279,1443368.555519762,5245055.763751491,0.0,,Alpine Fault,50.0,60.0
280,1430683.2949537926,5235208.274330777,0.0,,Alpine Fault,45.0,50.0
281,1682578.7189981693,5388139.489854278,0.0,,Awatere Fault,230.0,90.0
282,1676140.7904304692,5383459.285204732,0.0,,Awatere Fault,230.0,90.0
283,1668771.056412181,5377000.179240428,0.0,,Awatere Fault,230.0,90.0
284,1651236.1720238377,5364124.322105033,0.0,,Awatere Fault,230.0,90.0
285,1640838.070291136,5356860.47506977,0.0,,Awatere Fault,230.0,90.0
286,1629423.4535214298,5348262.452048438,0.0,,Awatere Fault,230.0,90.0
287,1625283.2724852923,5345943.5271202745,0.0,,Awatere Fault,245.0,90.0
288,1615944.040582805,5341644.515609608,0.0,,Awatere Fault,245.0,90.0
289,1598790.34933334,5336773.714390629,0.0,,Awatere Fault,240.0,90.0
290,1577867.081488312,5328450.997525153,0.0,,Awatere Fault,240.0,90.0
291,1581742.5450668954,5330971.1077210605,0.0,,Awatere Fault,240.0,90.0
292,1570687.944039461,5324575.533946573,0.0,,Awatere Fault,-105.0,90.0
293,1555164.912328526,5316168.107494681,0.0,,Awatere Fault,-105.0,90.0
294,1544237.375680718,5312610.304865164,0.0,,Awatere Fault,-105.0,90.0
295,1539535.9936345678,5311170.241896075,0.0,,Awatere Fault,-105.0,90.0
296,1679476.230395644,5364092.556010139,0.0,,Clarence Fault,65.0,70.0
297,1671407.6422894106,5360026.495862117,0.0,,Clarence Fault,65.0,70.0
298,1665605.0356198405,5355335.702514269,0.0,,Clarence Fault,65.0,70.0
299,1657652.923194933,5346652.969906522,0.0,,Clarence Fault,65.0,70.0
